Year,Project Name,Client,Role,URL,Short Description,Expanded Description
2020,COVIDcast,Carnegie Mellon University,"Designer, developer",https://covidcast.cmu.edu/,,
2020,CBS Election Touchscreen Proof-of-Concept,CBS News,Lead Developer & Designer,,,
2020,David Byler’s Interactive Election Simulator,Washington Post,Lead Developer,https://www.washingtonpost.com/pr/2020/01/09/washington-post-opinions-launches-interactive-election-simulator/,,
2019,"Andrew Yang's campaign and supporters struggle to push away extremists, leaked chats show",NBC News,Research,https://www.nbcnews.com/tech/tech-news/andrew-yang-s-campaign-supporters-struggle-push-away-extremist-support-n993241,,
2018,2018 Midterm Election Big Board,NBC News & MSNBC,Lead Developer,https://www.newscaststudio.com/2018/11/05/nbc-big-board-update/,,
2018,Russian trolls went on attack during key election moments,NBC News,Graphics Editor,https://www.nbcnews.com/tech/social-media/russian-trolls-went-attack-during-key-election-moments-n827176,,
2018,Does America Need Another Prison?,NBC News Special,Designer,https://www.nbcnews.com/specials/kentucky-prison-coal-country,,
2017,Post Bail,NBC News Special,Designer,https://www.nbcnews.com/specials/bail-reform,,
2017,Making of an Astronaut,NBC News Special,Designer,https://www.nbcnews.com/specials/making-of-an-astronaut,,
2017,Journey of a Bullet,NBC News Special,Designer,https://www.nbcnews.com/specials/journey-of-a-bullet,,
2017,Trump’s First 100 Days,NBC News Special,"Graphics editor, designer",https://www.nbcnews.com/specials/donald-trump-first-100-days,,
2016,How Trump Won,NBC News Special,"Graphics editor, designer",https://www.nbcnews.com/specials/donald-trump-republican-party/presidency,,
2016,2016 Election County-Level Election Maps,NBC News & MSNBC,"Designer, developer",https://www.youtube.com/watch?v=p4KIMQsVkt8,,
2016,Kanye Fashion Universe,Vocativ,"Creator, designer",http://www.vocativ.com/282689/the-road-to-yeezy-mapping-kanyes-fashion-universe/,,
2016,Spotifinder,Vocativ,"Project manager, creator",http://www.vocativ.com/297798/tailor-your-sxsw-music-schedule-with-vocativs-spotifinder-app/,,
2016,Blame-Obama-Tron,Vocativ,"Creator, designer, developer",http://www.vocativ.com/274351/everything-everywhere-is-obamas-fault/,,
2015,Newsroom Dataviz Styleguide,Vocativ,"Designer, creator",http://vocativ.graphics,,"<a href=""http://dataforradicals.com/the-absurdly-illustrated-guide-to-making-your-own-immersive-news-stories/"">a great sStory tutorial</a>"
2014,Presidential Readability,Vocativ,"Creator, designer, developer",http://www.theatlantic.com/politics/archive/2014/10/have-presidential-speeches-gotten-less-sophisticated-over-time/381410/,,
2013,GitHub Octoverse 2013,GitHub,"Designer, Developer",https://github.com/blog/1773-state-of-the-octoverse-2013-edition,,
2012,Dark Money Universe,Mother Jones,Developer,http://www.motherjones.com/politics/2012/06/interactive-chart-super-pac-election-money,,
2016,"Jordanian Beauty Queen Leaves Anonymous, Goes Legit To Hack ISIS",Vocativ,Writer,http://www.vocativ.com/247400/anonymous-affiliate-grows-up-to-fight-isis/,,
2015,4Chan Users Trolled Minneapolis Protest For Days Before Shooting,Vocativ,"Creator, writer",http://www.vocativ.com/254449/4chan-users-had-trolled-minneapolis-protest-for-days-before-shooting/,,
2015,Wall Street Bonuses Could Pay Off These States’ Student Loans,Vocativ,Designer,http://www.vocativ.com/money/the1/wall-street-student-loans/,,
2015,Network Intel: Darren Wilson Supporters,Vocativ,Designer,http://www.vocativ.com/datas/data-data/darren-wilson-supporters/,,
2015,The Birds (And Deer) Behind Thousands Of Airplane Emergencies,Vocativ,"Creator, designer",http://www.vocativ.com/culture/science/bird-strikes-airplane-faa-database/,,
2015,Mystery Cop Pulls Gun on Crowd of Anti-Police-Brutality Protesters,Vocativ,"Creator, writer",http://www.vocativ.com/usa/race/cop-pulls-gun-on-protestors-oakland/,,
